iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,death_rate,death_rate_smoothed,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,total_hosp,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,perc,tests_units_grouped,start_date,pandemic_days,full_vax_prc20,full_vax_prc20_days,full_vax_prc75,full_vax_prc75_days,full_vax_prc50,full_vax_prc50_days
ISL,Europe,Iceland,2021-06-24,6631,0,8,NA,0,8,19312.092218270962,0,23.29916117420706,NA,0,23.299161174207164,NA,NA,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,1002,419391,1221.432,2.918,985,2.869,NA,NA,tests performed,383582,258120,174732,NA,15516,4058,111.71,75.17,50.89,NA,11818,2758,0.803,37.96,0.3433600008251039,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.949,NA,NA,NA,NA,50.89,tested,2020-02-28,482,2021-04-16,69,2021-06-24,0,2021-06-24,0
ISL,Europe,Iceland,2021-06-25,6631,0,8,NA,0,8,19312.092218270962,0,23.29916117420706,NA,0,23.299161174207164,NA,NA,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,1352,420743,1225.37,3.938,951,2.77,NA,NA,tests performed,386715,258852,177540,NA,3133,4458,112.63,75.39,51.71,NA,12983,2821,0.822,37.96,0.3433600008251039,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.949,NA,NA,NA,NA,51.71,tested,2020-02-28,483,2021-04-16,70,2021-06-24,1,2021-06-24,1
ISL,Europe,Iceland,2021-06-29,6650,12,19,NA,12,19,19367.427726059705,34.94874176131075,55.335507788741914,NA,34.94874176131075,55.33550778874202,NA,NA,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,424053,1235.01,2.909,938,2.732,NA,NA,tests performed,390877,258983,181635,NA,NA,4863,113.84,75.43,52.9,NA,14163,2673,0.778,23.15,0.3433600008251039,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.949,NA,NA,NA,NA,52.9,tested,2020-02-28,487,2021-04-16,74,2021-06-24,5,2021-06-24,5
ISL,Europe,Iceland,2021-06-30,6650,0,19,NA,0,19,19367.427726059705,0,55.335507788741914,NA,0,55.33550778874202,NA,NA,0.46,NA,NA,1,1,2.912,NA,NA,NA,NA,988,425041,1237.887,2.877,950,2.767,NA,NA,tests performed,401582,259385,192194,NA,10705,4788,116.96,75.54,55.97,NA,13945,1272,0.37,23.15,0.3433600008251039,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.949,NA,NA,NA,NA,55.97,tested,2020-02-28,488,2021-04-16,75,2021-06-24,6,2021-06-24,6
ISL,Europe,Iceland,2021-07-01,6650,0,19,NA,0,19,19367.427726059705,0,55.335507788741914,NA,0,55.33550778874202,NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,1058,426099,1240.969,3.081,958,2.79,NA,NA,tests performed,422848,259885,213186,NA,21266,5609,123.15,75.69,62.09,NA,16336,252,0.073,17.59,0.3433600008251039,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.949,NA,NA,NA,NA,62.09,tested,2020-02-28,489,2021-04-16,76,2021-06-24,7,2021-06-24,7
ISL,Europe,Iceland,2021-07-02,6650,0,19,NA,0,19,19367.427726059705,0,55.335507788741914,NA,0,55.33550778874202,NA,NA,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,1261,427360,1244.641,3.673,945,2.752,NA,NA,tests performed,435373,262051,223719,NA,12525,6951,126.8,76.32,65.16,NA,20244,457,0.133,17.59,0.3433600008251039,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.949,NA,NA,NA,NA,65.16,tested,2020-02-28,490,2021-04-16,77,2021-06-24,8,2021-06-24,8
ISL,Europe,Iceland,2021-07-07,6665,10,15,NA,10,15,19411.113653261342,29.123951467758957,43.68592720163833,NA,29.123951467758957,43.685927201638435,NA,NA,0.46,NA,NA,0,0,0,NA,NA,NA,NA,1080,432273,1258.95,3.145,1033,3.009,NA,NA,tests performed,444090,262490,232162,NA,NA,6073,129.34,76.45,67.61,NA,17687,444,0.129,17.59,0.3433600008251039,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.949,NA,NA,NA,NA,67.61,tested,2020-02-28,495,2021-04-16,82,2021-06-24,13,2021-06-24,13
ISL,Europe,Iceland,2021-07-08,6665,0,15,NA,0,15,19411.113653261342,0,43.68592720163833,NA,0,43.685927201638435,NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,1195,433468,1262.43,3.48,1053,3.067,NA,NA,tests performed,451056,264783,238843,NA,6966,4030,131.37,77.12,69.56,NA,11737,700,0.204,17.59,0.3433600008251039,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.949,NA,NA,NA,NA,69.56,tested,2020-02-28,496,2021-04-16,83,2021-06-24,14,2021-06-24,14
ISL,Europe,Iceland,2021-07-09,6665,0,15,NA,0,15,19411.113653261342,0,43.68592720163833,NA,0,43.685927201638435,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,1564,435032,1266.985,4.555,1096,3.192,NA,NA,tests performed,451936,264849,239686,NA,880,2366,131.62,77.13,69.81,NA,6891,400,0.116,17.59,0.3433600008251039,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.949,NA,NA,NA,NA,69.81,tested,2020-02-28,497,2021-04-16,84,2021-06-24,15,2021-06-24,15
ARE,Asia,United Arab Emirates,2021-07-13,653284,1522,10683,NA,1522,10683,65386.70519241501,152.3358375574109,1069.2534511339159,NA,152.3358375574109,1069.2534511339165,NA,NA,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,263784,61297926,6135.263,26.402,277632,27.788,0.005,181.9,tests performed,16042491,7516827,6557442,NA,73831,55929,160.57,75.24,65.63,NA,5598,21183,0.212,63.43,9.991083020280128,112.442,34,1.144,0.526,67293.483,NA,317.84,17.26,1.2,37.4,NA,1.2,77.97,0.89,NA,NA,NA,NA,65.63,tested,2020-01-29,531,2021-02-23,140,2021-07-13,0,2021-07-13,0
