Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
630b1ba4c6eb389121deb7157eb674ac5173ef8af00091bbb8f79d0117451511,2019-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a caution
01af52e83e13f851bad1f0cad5f10ee9a2a13a4809f51e2cbfc8392095e0e720,2019-12,Metropolitan Police Service,Metropolitan Police Service,0.053194,51.552805,On or near ROMFORD ROAD,E01003578,Newham 003A,Offender given a caution
5e05eca8fac6028717828dc27e1e0ae63f8f31a5ac23c59711d6a5b37dde6a61,2019-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
c8f72170e84fd7bb271738a667bdd295f54bde421468323510bc20fea030662d,2019-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
9757b53be790813551ba88920b4e0c28533cf7194168a6589a2a91992c62716c,2019-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a drugs possession warning
f95b09f80e5ff9e9e3f6f9934bd8cfef2555906659eb2e18b12971f6424f797b,2019-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
2d1f501d075c1433d4b2f295a30ca379ef289dfb464dbec87c63cbc72e83ce6e,2019-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a caution
fd1cf4072fd30b933d1d41f7b71cdde1bea300fb0592e0b511e5e6e59da13285,2019-12,Metropolitan Police Service,Metropolitan Police Service,-0.175663,51.448677,On or near WILDE PLACE,E01004624,Wandsworth 024E,Suspect charged
7cc0ec5c323072897dc52ebb3085f996496578756a55aca00bab59ec68622ab9,2019-12,Metropolitan Police Service,Metropolitan Police Service,-0.166379,51.460204,On or near Supermarket,E01004552,Wandsworth 008C,Suspect charged
4450d03451ff84dac79a92e862d05c0c6a7af4e7c0702fab8a484a350de1453c,2019-12,Metropolitan Police Service,Metropolitan Police Service,-0.249885,51.451922,On or near MINSTEAD GARDENS,E01004574,Wandsworth 013B,Local resolution
